,news_headline,news_article,news_category
0,"2 crore Gionee mobiles were secretly planted with malware, says China court","Two crore mobiles made by Chinese company Gionee were intentionally inflicted with Trojan Horse via an app between December 2018 and October 2019, according to a Chinese court's verdict. The app became a tool to profit from users through unsolicited ads and other illegitimate means. Gionee's subsidiary Shenzhen Zhipu implanted the malware through an update of 'Story Lock Screen' app. ",technology
1,Musk's Boring Company shares a glimpse of Las Vegas loop station,"The Boring Company shared a short clip on Twitter showing one of the underground stations that the company is building as part of its Las Vegas Convention Center (LVCC) loop. In September, Founder Elon Musk said the first operational tunnel under Vegas was almost complete. ""Tunnels under cities with self-driving electric cars will feel like warp drive,"" he had added.",technology
2,"1,500 Google employees demand answer over researcher's alleged firing","Over 1,500 Google employees have signed a petition against AI researcher Timnit Gebru's alleged firing and demanded an explanation for censorship of Gebru's research paper. Gebru was allegedly fired after she sent an email to her colleagues discussing the censorship by Google. The petition said Gebru has faced ""defensiveness, racism, gaslighting, research censorship, and now a retaliatory firing"".",technology
3,Apple CEO Tim Cook adds his pronouns to his Twitter bio,"Apple CEO Tim Cook has recently added his gender pronouns ""he/him"" to his Twitter bio. Adding pronouns as an introduction is widely seen as a way of creating an inclusive environment for transgenders. Another senior Apple executive, Greg Joswiak also added pronouns recently. Cook came out as gay in 2014, becoming one of the first major CEOs to do so. ",technology
4,"Twitter allows physical security key support for iPhones, Android devices","Twitter has rolled out hardware security key support for iPhones and Android devices, enabling users with a security key on their account to use it to log in from their mobiles. Hardware security keys support was first announced in 2018, with the aim of ""allowing users to add a physical security barrier instead of two-factor authentication options,"" reported TechCrunch.",technology
5,Many accounts engaged with China's tweet on Aus soldier fake: Report,"Israeli firm Cyabra claimed that 57.5% of 1,344 profiles it analysed, that engaged with China's foreign ministry spokesman Zhao Lijian's tweet on Australian soldier, were fake. It found ""evidence of a largely orchestrated disinformation campaign"" to amplify its message. An ASPI researcher also claimed she had noticed ""unusual behaviour"" by Twitter accounts retweeting or liking the post.

",technology
6,Banks need experienced chief risk officers to handle cybercrime: Deloitte,"The Indian banking industry needs to hire experienced chief risk officers to deal with cybercrimes, Deloitte said in a report. The sector witnessed increased cyberattacks as it accelerated efforts to ensure digital banking and remote access to employees during the pandemic, it added. Rising cyber threats after COVID-19 pose serious concerns for Indian banks and the RBI, it further said.",technology
7,Take strict action against Amazon for causing misery to traders: CAIT to ED,"Traders' body CAIT has written to the ED seeking ""strict action"" against Amazon, claiming that it has caused ""misery"" to small traders by resorting to predatory pricing. It has provided ED with all the ""necessary details"" to prove that Amazon has ""brazenly"" violated India's laws. It has also raised questions on how Amazon has been ""carrying on multi-brand retail trading"".",technology
8,JD.com to be 1st online portal to accept China's digital currency,"Chinese e-commerce company JD.com said it will become the country's first virtual platform to accept Beijing's digital currency. JD Digits will accept digital yuan as payment for some products on its online mall, as part of an experimental giveaway of digital yuan to citizens of Suzhou. Digital vouchers worth 20 million yuan in total will be distributed to selected residents.",technology
9,Sick of talking about Microsoft: Slack CEO if competition forced Salesforce deal,"Slack CEO Stewart Butterfield in an interview discussing the idea that competition from Microsoft forced the Salesforce deal said he is ""sick of talking about Microsoft"". He added that the narrative will eventually be ""dispelled"". Butterfield also believes that he will become one of Salesforce's presidents after it buys Slack for $27.7 billion.",technology
10,NITI Aayog suggests regulating online fantasy sports platforms,"NITI Aayog has released a draft paper to discuss uniform national regulation and setting operating standards for online fantasy sports platforms (OFSP) in India. The think-tank suggests OFSPs to abide by all Indian laws, offer only skill-predominant formats among several other reforms. Fantasy gaming is currently a state subject, which means rules and regulations differ from state to state.",technology
11,Tesla asked to give ₹1 cr to used car buyer for hiding damage in China,Tesla was ordered by a Chinese court to pay over ₹1 crore to the buyer of a used Model S car after concluding it concealed structural damage on the vehicle it sold on its official website. It was reportedly discovered part of the vehicle had been cut and welded back together. Tesla will appeal the ruling to a higher court.,technology
12,"WhatsApp testing voice, video calls feature on desktop app: Report","WhatsApp is testing the ability to make video and voice calls via its desktop app, as per a tweet by The Guardian's Alex Hern. Hern shared an image on Twitter that shows both the video call icon and the voice call icon inside a chat on the desktop app. Both the icons had the ""beta"" tag on them.",technology
13,Tesla reveals women comprise 17% of its total US leadership roles,"Tesla revealed in its first-ever US diversity report that women comprise 17% of the company's leadership roles and 21% of the overall workforce. It added that Black people make up 4% of its US leadership roles and 10% of its total workforce. ""While women are historically underrepresented...we recognise we have work to do in this area,"" Tesla said.",technology
14,"US labour board accuses Amazon of threatening, illegally firing worker","US' National Labor Relations Board has filed a complaint against Amazon for firing former warehouse worker Courtney Bowden after she advocated for sick pay for part-time workers. Amazon fired her claiming she had gotten into an altercation with a coworker, which Bowden has denied. The e-commerce major has been criticised for providing unsafe working conditions and monitoring unionising activities.",technology
15,Activision sues Netflix over alleged poaching of its ex-exec in US,"Activision Blizzard has sued Netflix in the US alleging Netflix engaged in ""unlawfully poaching"" company executives, including its former finance chief, Spencer Neumann. ""Netflix has a...practice of unlawfully inducing employees of...competitors to breach their fixed-term contracts,"" Activision said. It has accused Netflix of unfair competition and intentional interference, among other things.",technology
16,₹2.46 cr robot that can cook meals from scratch created by UK company,"A London-based robotics company Moley Robotics has created the Moley Kitchen robot that can cook meals from scratch and clean up afterwards. The robot has two robotic arms with fully articulated ""hands"" that can retrieve ingredients from smart fridge and use the sink to fill pans. It has been developed with the assistance of BBC MasterChef's 2011 winner Tim Anderson.",technology
17,IISc team working on COVID-19 detection via artificial intelligence,"Researchers at IISc, Bengaluru, are working on rapid identification of COVID-19 biomarkers in blood plasma using Raman spectroscopy and AI. They said, using AI and deep learning, the detection will be rapid and automated and won't require any extraction procedure. An IISc professor said Raman spectroscopy has found numerous applications in biomedicine, especially in disease diagnosis.",technology
18,UAE target of cyberattacks after forming ties with Israel: Official,"The UAE was the target of cyberattacks after establishing formal ties with Israel, the country's cybersecurity head Mohamed Hamad Al-Kuwaiti said. He added that the financial sector was targeted but did not elaborate. He didn't specify if the attacks were successful or provide details on who the perpetrators were.",technology
19,Mastercard to investigate child abuse allegations against Pornhub,"Mastercard is investigating allegations against Pornhub with its parent MindGeek's bank, following a New York Times column which said that videos posted on the site ""depict child abuse and nonconsensual violence"". ""I don't see why...credit card companies should bolster a company that monetises sexual assaults on children or unconscious women,"" the column read. Pornhub has denied the allegations.",technology
20,Self-driving drone with 70% reusable system for launching satellites unveiled,"US-based startup Aevum has unveiled a fully self-driving drone, Ravn X, designed to deliver satellites to space as fast as every three hours. Aevum claims Ravn X is the world's largest Unmanned Aircraft System (UAS) by mass. It added that 70% of Ravn X's system is reusable and it aims for 95% reusability in future.",technology
21,I will probably go into space in 2-3 years: Elon Musk,"In an interview, Tesla and SpaceX CEO Elon Musk said he himself would probably go into space in ""two or three years"" and that he expects to see the first human on Mars in six years. Musk said Mars is not a Plan B, and rather part of his ambition to make mankind ""a multi-planet species and a spacefaring civilisation.""",technology
22,Apple to replace some iPhone 11 displays having touch issues,Apple has admitted that some iPhone 11 displays may stop responding to touch due to an issue with the display module and has offered free replacement. Affected devices were manufactured between November 2019-May 2020. Apple has asked owners with affected displays to check their phone's serial number on the support page to see if they are eligible for free replacement.,technology
23,We're going to have more vaccines than we can possibly use: Elon Musk,"In a recent interview, Tesla and SpaceX CEO Elon Musk said, ""We're going to have so many (COVID-19) vaccines, we won't know what to do with them. More...than we can possibly use."" Musk has earlier been criticised for saying ""the coronavirus panic is dumb"" and even claiming the US will see ""close to zero new cases"" by April 2020.",technology
24,Elon Musk plans to move to Texas to save billions in tax: Reports,"Tesla and SpaceX CEO Elon Musk is reportedly planning to leave California and shift to Texas, a state with no income tax, which would result in him saving billions of dollars. In May, Musk said he was selling his houses and listed his California properties too. Last month, Musk overtook Bill Gates to become the second-richest person in the world. ",technology
25,"India defeat Australia in last over, win their 5th consecutive T20I series","India chased down the target of 195 against Australia in the last over in the second T20I in Sydney to take an unassailable 2-0 lead in the three-match series. With this, India registered their fifth consecutive T20I series victory. Further, India also extended their unbeaten run in T20I cricket to 11 matches.",sports
26,Kohli becomes first Indian captain to win T20I series in all SENA countries,"After clinching the T20I series against Australia today, Virat Kohli became the first Team India captain to win a T20I series in all the SENA (South Africa, England, New Zealand and Australia) countries. Kohli-led India had won a T20I series in New Zealand earlier this year, while they had registered a 2-1 series win in England two years ago.",sports
27,Basketball jersey Obama wore 41 years ago in school sells for ₹1.4 crore,"A basketball jersey worn by former US President Barack Obama in 1979 during his senior year at Punahou School in Hawaii sold for $192,000 (₹1.4 crore) at auction, Julien’s Auctions said. It added that it is the highest amount ever for a high-school jersey sold at auction. The white mesh jersey features the number 23.",sports
28,Will send him a text tonight: Kohli as video of his 6 with ABD-like shot goes viral,"A video of India captain Virat Kohli hitting a six off Australia pacer Andrew Tye with an AB de Villiers-like scoop shot in the second T20I went viral. In the post-match presentation, Kohli said, ""It was a bit of funny moment, I surprised myself there."" He added, ""I'll send ABD a text tonight and see what he thinks of it.""",sports
29,34-yr-old ex-Brazilian boxer arrested for allegedly killing her 61-yr-old husband,"Former Brazilian professional boxer Viviane Obenauf has been arrested for allegedly killing her 61-year-old Swiss husband with a ""blunt object"" in their apartment in Switzerland. The unnamed businessman died of ""massive injuries"" from a ""sustained violent assault” in an attack that led to a drone reportedly being flown over the flat. The police also raided 34-year-old Obenauf's gym.",sports
30,"I'm proud we won T20I series without established players like Rohit, Bumrah: Kohli","After taking an unassailable 2-0 lead in the three-match T20I series against Australia, India captain Virat Kohli said, ""I am very proud of this team."" He added, ""The fact that we didn't have Rohit Sharma and Jasprit Bumrah, our established white-ball players and we still did well makes me happy."" Bumrah was rested, while Rohit wasn't included in T20I squad.",sports
31,I am not Dhoni: Wade heard saying on stump mic after missed stumping,"Australia stand-in captain and wicketkeeper Matthew Wade was heard saying 'I am not Dhoni, not quick enough like Dhoni' on stump mic after a narrow stumping miss in the second T20I. Team India batsman Shikhar Dhawan, who was on the striker's end, was seen acknowledging Wade's statement with a nod. This happened in the ninth over of India's innings.",sports
32,Umpires should call dead ball if a batsman tries to play a switch hit: Ian Chappell,"Former Australia captain Ian Chappell has said that the umpires should call the ball dead if a batsman tries to play a switch hit. He added, ""The square-leg umpire is already paying close attention to the batsman's feet...If a batsman changes the order of his feet, then the square-leg umpire ought to simply declare the ball dead.""",sports
33,"Wade gives up thinking Kohli took catch & gets run-out after catch drop, video viral","Australia's Matthew Wade got run-out after Virat Kohli dropped his catch in second T20I's eighth over. Wade got a leading edge off Washington Sundar and the ball flew towards cover. Wade charged for a run but gave up midway thinking Kohli took the catch. However, Kohli dropped it and threw the ball to KL Rahul, who effected the dismissal. ",sports
34,"Steyn gets angry at fan for suggesting normal haircut, calls him 'Mr ugly mustache'","South African fast bowler Dale Steyn got angry at an Indian fan during a Twitter question-answer session after the latter suggested him to get a normal haircut. Responding to the fan, who said long locks don't suit him, Steyn wrote, ""How about I worry about my appearance and you worry about yours Mr ugly mustache.""",sports
35,SA-Eng 1st ODI called off again after hotel staff tests COVID-19 positive,"The first ODI between South Africa and England in Paarl on Sunday was cancelled after two hotel staff, where the visitors were staying, tested COVID-19 positive. The start of the match was initially delayed after the tests returned positive, but the match was eventually suspended. The match was rescheduled to Sunday after a South Africa cricketer tested positive for coronavirus.",sports
36,Video of a child crying in stands during Australia-India T20I goes viral,"A video of a child crying in the stands during Australia-India T20I in Sydney has gone viral on social media. In the video, a Team India fan can be seen holding the boy as the camera panned over the spectators, who can be seen cheering. ""Cricket's not everyone's cup of tea,"" Cricket Australia wrote sharing the video.",sports
37,"Jehan Daruvala creates history, becomes first Indian to win Formula 2 race","Carlin driver Jehan Daruvala on Sunday created history when he became the first Indian to win a Formula 2 race during the Sakhir Grand Prix. The 22-year-old emerged on top after a long battle with Dan Ticktum, eventually winning by a 2.9-second margin. Further, Michael Schumacher's son Mick Schumacher won the Formula 2 championship with 215 points.",sports
38,"Shuttlers Parupalli Kashyap, HS Prannoy test COVID-19 positive","Indian men's badminton players including former Commonwealth Games gold medallist Parupalli Kashyap and HS Prannoy tested positive for COVID-19. Both players are asymptomatic and are currently in self-isolation. Apart from the duo, shuttlers RMV Gurusaidutt and Pranaav Jerry Chopra have also tested positive for coronavirus. Meanwhile, Kashyap's wife Saina Nehwal has tested negative.",sports
39,"Not surprised Shreyas was dropped, it's Team India's culture now: Kaif","Ex-India batsman Mohammad Kaif said that he was not surprised when Shreyas Iyer was dropped in the first T20I against Australia. ""Iyer had two or three bad innings in the ODI, so they didn't play [him]...This is the culture of the team [now]...This is the sort of thinking of Virat Kohli and Ravi Shastri...players are also understanding that,"" he stated. ",sports
40,Gill should play in middle order as Kohli's replacement in last 3 Tests: Aakash,"Cricketer-turned-commentator Aakash Chopra has said Shubman Gill should be picked over KL Rahul to bat at number four in place of Virat Kohli in the last three Australia Tests. ""If you're looking to bat someone in the middle order...Shubman should get the nod ahead of Rahul...if there's a spot as an opener...then [it should be] Rahul,"" he stated. ",sports
41,Time for Pandya to establish in finishing role and play match-winning knocks: Kohli,"Talking about Hardik Pandya's unbeaten 42-run knock off 22 balls, skipper Virat Kohli said it's time for him to establish in finishing role and play match-winning knocks for the team. ""The reason for Hardik to come into our team in 2016 was pure ability...he plays with all his heart and he certainly got that competitive nature about him,"" Kohli added.",sports
42,Aus must be frustrated but fair on India to use concussion sub: Gambhir,"On Yuzvendra Chahal replacing Ravindra Jadeja in Canberra T20I as concussion substitute, ex-India opener Gautam Gambhir has said that it was fair on India to use the concussion rule. ""I understand that Australia must be frustrated...[but] If there's a concussion, and there is a concussion rule, why not use it...India used it to the best of their advantage,"" he added. ",sports
43,"Top 4 runners break half marathon's world record, Kenyan runner sets new record","Kenyan runner Kibiwott Kandie on Sunday smashed the half marathon's world record, clocking 57:32 at the Valencia Half Marathon. Notably, all top four men ran under the previous world best, with Jacob Kiplimo of Uganda finishing second in 57:37, Kenyan Rhonex Kipruto third in 57:49 and Kenyan Alexander Mutiso taking fourth place in 57:59. The previous world record was 58:01. ",sports
44,"Kohli best player I've ever seen, his shots today were extraordinary: Langer","Australia coach Justin Langer has praised Virat Kohli, saying that the India skipper is the best player he has ever seen. ""Some of the shots he played today were extraordinary,"" he added. Chasing the 195-run target, Kohli scored 40 off 24 balls including two fours and two sixes. India scored 14 off the last over to win the match.",sports
45,"I thought Natarajan should be Man of the Match, he had a good game: Pandya","India all-rounder Hardik Pandya, who was named Man of the Match for his unbeaten 42-run knock off 22 balls in the second T20I, has said that pacer T Natarajan had a ""really good"" game and he should've been Man of the Match. Natarajan gave 20 runs in his four overs and dismissed D'Arcy Short and Moises Henriques in the match.",sports
46,Not being able to train in NZ has affected our players: Misbah,"Pakistan head coach and ex-captain Misbah-ul-Haq has said that not being able to train in New Zealand has affected their players. ""Top professional athletes require a certain environment to prepare so that they can perform,"" he added. The Pakistan cricket team has been denied the right to train while in managed isolation after their eight members tested positive for COVID-19.",sports
47,Pollard will always be my inspiration: Hardik after last-over win vs Aus,"After guiding India to a last-over win against Australia in the 2nd T20I, all-rounder Hardik Pandya said he always draws his inspiration from his Mumbai Indians teammate Kieron Pollard. Hardik said, ""Pollard has done it many times for his country and franchise."" Hardik scored an unbeaten 22-ball 42, including two last-over sixes to help India take an unassailable 2-0 lead.",sports
48,"Ritu Phogat remains undefeated, wins her fourth MMA bout on the trot","Ritu Phogat on Friday notched up her fourth consecutive MMA win to take her career record to 4-0. She defeated Jomary Torres of Philippines via Technical Knock Out in the ONE Championship atomweight (52.2kg) match. This was Ritu's second MMA bout in just over a month. Earlier, she had fought against Cambodia's Nou Srey Pov on October 30.",sports
49,Captaining Australia was fun until Hardik came out: Matthew Wade,"Speaking at the post-match conference after India chased down the 195-run target, Australia stand-in captain Matthew Wade said that captaining was fun until Hardik Pandya came out to bat. ""When you have a player like Hardik who comes out and finishes, he can take anything off the last 5-6 overs,"" Wade added. India needed 37 runs off last three overs. ",sports
50,Basketball jersey Obama wore 41 years ago in school sells for ₹1.4 crore,"A basketball jersey worn by former US President Barack Obama in 1979 during his senior year at Punahou School in Hawaii sold for $192,000 (₹1.4 crore) at auction, Julien’s Auctions said. It added that it is the highest amount ever for a high-school jersey sold at auction. The white mesh jersey features the number 23.",world
51,'Thundersnow' wakes up people with loud explosion-like noise in Edinburgh,"Residents of Scotland's capital Edinburgh contacted emergency services when they were woken in the early hours of Friday by noises similar to loud explosions, that also set off their car alarms. Police explained that it was caused by the phenomenon known as 'thundersnow'. It happens when thunderstorms form in wintry conditions, giving rise to heavy downpours of snow, they added.",world
52,Mystery illness in US diplomats likely due to 'directed' radio frequency: US report,"Mystery illness suffered by diplomats stationed in the US embassies in Havana and elsewhere is likely due to ""directed, pulsed radio frequency energy"", a US government report said on Saturday. Diplomats in some postings have complained of nausea, headache, dizziness and other unexplained symptoms. The report marks the first time the US has officially offered an explanation for the illness.",world
53,Man mistakenly orders inflatable Grinch that's bigger than his house for daughter,"A 49-year-old UK man mistakenly ordered a 35-foot-tall inflatable Grinch online for his daughter ahead of Christmas. The man paid around ₹50,000 for the inflatable Grinch, which was bigger than his house. After several families visited him on seeing the Grinch outside his house, the man started a donation drive for a care home asking the families to make donations.",world
54,Anti-LGBT lawmaker seen with semi-naked man during online parliamentary meeting,"A Lithuanian MP known for his stand against LGBT rights was spotted with a semi-naked man after he turned his camera on by accident during an online parliamentary meeting. ""The question is why are they half-naked during working hours. Of course, you could say it's a person's private life, but he is connected to a parliament meeting,"" an official said.",world
55,Massive fire guts New York church housing iconic Liberty Bell; pics surface,"A church in lower Manhattan that houses New York's iconic Liberty Bell and whose congregation dates to the city's earliest days was gutted by a massive fire. The Reverend, Jacqueline J Lewis, said, ""We are gutted like our building is gutted; our hearts are crushed like our doors are crushed."" The church was built 128 years ago. ",world
56,"Woman offers to donate her eggs to help father, ex-boyfriend have a baby","A 21-year old woman from UK's Manchester has offered to donate her eggs to help her father and ex-boyfriend have a baby. Saffron's father Barrie Drewitt-Barlow is one of UK's first gay dads. Barrie welcomed his first daughter via surrogacy with his partner Scott Hutchison, who had previously dated Saffron, in September this year.",world
57,Security guard dies after falling while changing poster at Bengaluru theatre,"A security guard allegedly fell to his death at a Bengaluru movie theatre while he was changing a poster. According to the police, the incident happened on Sunday around 8:15 am. ""Owner of the theatre said that changing poster was not the job of the man. We will investigate the matter,"" said the police.",world
58,He risked his entire presidency: Biden on Obama's decision to kill Laden,"While talking to CNN about the 2011 raid that killed Osama bin Laden, US President-elect Joe Biden said, ""Barack Obama risked his entire presidency on making the call."" ""It took real...courage to make that decision,"" Biden added. Biden had advised Obama to wait to order the raid, however, he later advised the then US President to follow his instinct.",world
59,"Italian man walks 450 km in lockdown after argument with wife; fined ₹36,000","A 48-year-old Italian man was fined €400 (nearly ₹36,000) after he walked 450 kilometres amid the coronavirus lockdown in an attempt to calm himself after arguing with his wife. The man left Como and walked about 65 kilometres a day and reached Fano, a beach resort on the Adriatic coast. The police conducting a search for coronavirus rule-breakers caught him.",world
60,18-yr-old freezes to death after spending a week in car at -50°C in Russia,"A Russian teenager froze to death in his car in Yakutia region after getting lost while driving, however, the 18-year-old's friend survived. According to the region's investigative committee, the temperature in the area at night is around -50°C. The two had started driving from Yakutsk to Magadan on November 28 and were not found until December 5.",world
61,US reports nearly 2.3 lakh coronavirus cases on Saturday,"The US on Saturday reported its highest rise in daily coronavirus cases at nearly 2.3 lakh, according to the Johns Hopkins University tracker. The death toll from coronavirus rose by 2,607 on the same day, the data showed. The US is the worst coronavirus-hit country with nearly 1.46 crore coronavirus cases and over 2.81 lakh COVID-19 deaths.",world
62,COVID-19 could push 20.7 cr more people into extreme poverty: UNDP,"The United Nations Development Programme (UNDP) has said that severe long-term effects of the COVID-19 pandemic could push an additional 20.7 crore people into extreme poverty. The total number of people living in extreme poverty could rise to over 100 crore by 2030, it added. However, UNDP has suggested that investing in Sustainable Development Goals (SDGs) could reverse the trend.",world
63,S Jaishankar pulls out of Canada-led COVID-19 meeting: Reports,"External Affairs Minister S Jaishankar has reportedly pulled out of a Canada-chaired global COVID-19 meeting scheduled to be held virtually on December 7, citing ""scheduling issues"". This comes after Canadian Prime Minister Justin Trudeau's remarks on farmers' protest. However, government sources said the decision wasn't ""an action to convey India's displeasure,"" The Indian Express reported.",world
64,"Italy's COVID-19 death toll rises to 2nd-highest in Europe at 60,078","Italy on Sunday became the second country in Europe and the sixth country globally to report over 60,000 deaths from coronavirus. Italy reported 564 COVID-19 deaths in the past 24 hours, taking the total death toll to 60,078, the country's Health Ministry said. A few days ago, the UK became the first European country to report over 60,000 coronavirus deaths.",world
65,UAE target of cyberattacks after forming ties with Israel: Official,"The UAE was the target of cyberattacks after establishing formal ties with Israel, the country's cybersecurity head Mohamed Hamad Al-Kuwaiti said. He added that the financial sector was targeted but did not elaborate. He didn't specify if the attacks were successful or provide details on who the perpetrators were.",world
66,Many accounts engaged with China's tweet on Aus soldier fake: Report,"Israeli firm Cyabra claimed that 57.5% of 1,344 profiles it analysed, that engaged with China's foreign ministry spokesman Zhao Lijian's tweet on Australian soldier, were fake. It found ""evidence of a largely orchestrated disinformation campaign"" to amplify its message. An ASPI researcher also claimed she had noticed ""unusual behaviour"" by Twitter accounts retweeting or liking the post.
",world